icao24,callsign,origin_country,time_position,last_contact,last_contact_utc,longitude,latitude,geo_altitude,on_ground,velocity,true_track,vertical_rate,baro_altitude,squawk,category
7c6ca2,NWK1638 ,Australia,1729029964.0,1729029964,2024-10-15 22:06:04+00:00,116.1246,-31.0245,6835.14,False,193.4,7.18,14.31,6758.94,4333,1
a736ff,JIA5357 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-80.1949,35.8877,5974.08,False,129.77,255.3,-3.58,5966.46,7061,4
ad7ab8,JBU233  ,United States,1729029962.0,1729029963,2024-10-15 22:06:03+00:00,-80.6893,43.2886,8923.02,False,265.97,269.67,0.0,9136.38,7356,4
ae04da,CNV4336 ,United States,1729029964.0,1729029964,2024-10-15 22:06:04+00:00,-105.7406,34.9508,11109.96,False,246.69,74.02,0.0,10668.0,2352,13
44cdcc,BEL7SD  ,Belgium,1729029963.0,1729029964,2024-10-15 22:06:04+00:00,4.2459,50.8343,906.78,False,83.51,69.44,-4.88,845.82,1000,1
a8e6f2,AAL2611 ,United States,1729029962.0,1729029963,2024-10-15 22:06:03+00:00,-77.0044,39.3899,11422.38,False,192.62,213.56,4.55,11483.34,5062,1
780a6e,CPA2093 ,China,1729029963.0,1729029964,2024-10-15 22:06:04+00:00,-150.1142,61.1677,266.7,False,73.05,90.0,-3.9,274.32,1020,6
c06cda,WJA1789 ,Canada,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-122.206,47.6422,8770.62,False,225.48,350.28,-7.15,8572.5,1174,2
a6a88c,VOI3062 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-115.8885,31.6131,9425.94,False,240.83,130.5,6.83,8976.36,1404,4
ae4bf1,C2317   ,United States,1729029938.0,1729029938,2024-10-15 22:05:38+00:00,-79.1477,25.7215,1714.5,False,108.66,101.47,-0.33,1668.78,1277,13
ab6851,DAL37   ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-80.9658,44.8842,10805.16,False,261.94,215.41,0.0,10972.8,0775,6
7c6de0,QFA511  ,Australia,1729029964.0,1729029964,2024-10-15 22:06:04+00:00,152.9129,-28.1167,6416.04,False,204.63,201.53,13.0,6172.2,1147,1
7c6de8,QFA419  ,Australia,1729029964.0,1729029964,2024-10-15 22:06:04+00:00,146.7103,-36.8844,11757.66,False,207.74,236.31,0.0,11582.4,5075,1
780a1d,CPA087  ,China,1729029964.0,1729029964,2024-10-15 22:06:04+00:00,-123.8058,43.4493,12534.9,False,264.28,340.08,0.0,12192.0,1004,6
a31a2d,UAL935  ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-107.285,39.3024,12687.3,False,246.34,245.58,0.0,12184.38,2151,6
7c6db4,QFA609  ,Australia,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,145.3391,-36.1354,11483.34,False,205.12,219.2,0.0,11277.6,1015,1
