Time of Departure,Departure Airport,Arrival Airport,Arrival Time
1673009735.0,LROP,EDDF,1673017672
1673014773.0,EDDH,EDDF,1673017617
1673013786.0,LIMF,EDDF,1673017463
1673012932.0,LIRQ,EDDF,1673017357
1673010780.0,,EDDF,1673017131
1673011800.0,EGPH,EDDF,1673017107
1673011170.0,LEBL,EDDF,1673017049
1673011662.0,,EDDF,1673016997
1673014141.0,EHAM,EDDF,1673016988
1673013654.0,LIML,EDDF,1673016786
1673008856.0,DAAG,EDDF,1673016716
1673014321.0,LSZH,EDDF,1673016576
1673012738.0,EGLL,EDDF,1673016494
1673014151.0,EDDM,EDDF,1673016447
1673011324.0,EPGD,EDDF,1673016441
1673013227.0,LFPG,EDDF,1673016419
1673010759.0,LIRF,EDDF,1673016380
1673012922.0,LIMC,EDDF,1673016343
1672965199.0,RKSI,EDDF,1673016203
1673010865.0,EPGD,EDDF,1673016200
1673007703.0,EFHK,EDDF,1673016057
1673009795.0,LYBE,EDDF,1673016033
1673011956.0,LOWG,EDDF,1673015993
1673011393.0,EPKT,EDDF,1673015969
1673012190.0,LIPX,EDDF,1673015906
1673013098.0,EDDB,EDDF,1673015905
1673010160.0,EGPF,EDDF,1673015723
1673011994.0,EKBI,EDDF,1673015643
1673011705.0,,EDDF,1673015552
1673013879.0,EDDL,EDDF,1673015536
1673012460.0,LOWI,EDDF,1673015467
1673009347.0,,EDDF,1673015377
1673013550.0,EDDN,EDDF,1673015301
1673013461.0,EDDG,EDDF,1673015259
1673012353.0,LOWS,EDDF,1673015255
1673012582.0,EDDW,EDDF,1673015154
1673012591.0,LSZM,EDDF,1673015135
1673011606.0,LOWL,EDDF,1673015096
1673012064.0,EDDH,EDDF,1673015089
1673007270.0,EETN,EDDF,1673015052
1673012550.0,EBBR,EDDF,1673014968
1673008177.0,,EDDF,1673014963
1673009678.0,ENZV,EDDF,1673014909
1672990338.0,,EDDF,1673014857
1672965868.0,RKSI,EDDF,1673014724
1673012461.0,EDDP,EDDF,1673014683
1673010301.0,EKCH,EDDF,1673014648
1673009212.0,EIDW,EDDF,1673014498
1673010685.0,EPWR,EDDF,1673014463
1673010575.0,LOWW,EDDF,1673014287
1673009761.0,LIPQ,EDDF,1673014186
1672965825.0,,EDDF,1673014028
1673002357.0,,EDDF,1673013944
1673011988.0,ELLX,EDDF,1673013867
1673010952.0,EDDB,EDDF,1673013839
1673009856.0,EKCH,EDDF,1673013778
1672974455.0,KLAX,EDDF,1673013772
1673008091.0,,EDDF,1673013627
1672974310.0,,EDDF,1673013568
1673011200.0,EDDM,EDDF,1673013568
1673009868.0,EGLL,EDDF,1673013483
1673007218.0,ENBR,EDDF,1673013395
1673011020.0,EDNY,EDDF,1673013319
1673007921.0,LFBO,EDDF,1673013089
1673008984.0,EGGW,EDDF,1673012998
1673009808.0,LIML,EDDF,1673012908
1673009362.0,LIPZ,EDDF,1673012802
1673001823.0,LTFJ,EDDF,1673012609
1673009355.0,LSGG,EDDF,1673012504
1673006300.0,LEBL,EDDF,1673012369
1673005495.0,LEPA,EDDF,1673012123
1673006912.0,LHBP,EDDF,1673012006
1672974218.0,KSFO,EDDF,1673011826
1673007686.0,EGLL,EDDF,1673011575
1672923207.0,EDDF,EDDF,1673011330
1673000345.0,LTFJ,EDDF,1673011199
1673007054.0,EGLL,EDDF,1673010923
1672999575.0,LTFM,EDDF,1673010863
1672976322.0,MMMX,EDDF,1673010799
1673007064.0,LFPG,EDDF,1673010208
1672998349.0,,EDDF,1673009846
1672985618.0,KIAD,EDDF,1673009804
1673006362.0,LIML,EDDF,1673009668
1673007590.0,EDDP,EDDF,1673009603
1672979509.0,,EDDF,1673009459
1673006610.0,EHAM,EDDF,1673009020
1672997696.0,,EDDF,1673008858
1672984274.0,,EDDF,1673008788
1673000554.0,DAAG,EDDF,1673008599
1673005692.0,EHAM,EDDF,1673008588
1672972951.0,KSEA,EDDF,1673008289
1672995188.0,,EDDF,1673008256
1672986752.0,OKBK,EDDF,1673008093
1673004405.0,EGLL,EDDF,1673007949
1672985745.0,OTHH,EDDF,1673007928
,,EDDF,1673007925
1673003461.0,EGGD,EDDF,1673007732
1673004842.0,LSZH,EDDF,1673007325
1672975082.0,,EDDF,1673006895
1672994158.0,,EDDF,1673006619
1673004078.0,EDDM,EDDF,1673006248
1673003700.0,EBBR,EDDF,1673006241
1672996123.0,,EDDF,1673006136
1672995888.0,EDDF,EDDF,1673005811
1673001614.0,EGGW,EDDF,1673005759
1672982140.0,,EDDF,1673005608
1673002594.0,LFPG,EDDF,1673005483
1673002382.0,EDDB,EDDF,1673005276
1672999155.0,ENGM,EDDF,1673005119
1673000822.0,LFRS,EDDF,1673005066
1672998705.0,LRTR,EDDF,1673004922
1672999415.0,LHBP,EDDF,1673004680
1673000709.0,LIPZ,EDDF,1673004654
1673000820.0,EGLL,EDDF,1673004445
1672978449.0,CYYZ,EDDF,1673004235
1672999951.0,LOWW,EDDF,1673004192
1673001633.0,EHAM,EDDF,1673004112
1672999860.0,EGLC,EDDF,1673003905
1672998762.0,EPKK,EDDF,1673003745
1673001494.0,EDDW,EDDF,1673003654
1672998934.0,EGCC,EDDF,1673003634
1673000741.0,EDDM,EDDF,1673003633
1673002872.0,EDFG,EDDF,1673003624
1673001450.0,LSZH,EDDF,1673003603
1672999341.0,LJLJ,EDDF,1673003559
1672999462.0,EPPO,EDDF,1673003489
1672999551.0,LFHC,EDDF,1673003320
